account_created_at,protected,followers_count,following_count,statuses_count
8/20/2009 3:48,0,11,7,15
8/11/2013 21:19,0,0,0,0
5/11/2010 6:08,0,0,1,0
1/11/2010 22:25,1,2,35,1
9/5/2011 6:22,0,0,0,0
11/14/2012 2:00,0,0,0,2
2/5/2009 16:31,0,9,28,338
1/10/2012 17:20,0,0,0,0
6/17/2012 13:33,0,2,17,1
8/11/2009 16:37,0,2,6,1
9/26/2012 14:24,0,0,0,0
5/30/2009 19:00,0,8,37,6
12/25/2012 20:50,0,5,24,33
5/1/2009 16:02,1,0,4,15
8/26/2008 3:10,1,12,2,11
9/22/2012 10:56,0,24,110,434
8/8/2009 6:39,0,16,52,466
9/19/2011 16:01,0,0,2,194
4/23/2011 12:52,0,217,106,265
8/2/2012 8:35,0,0,16,0
6/6/2009 0:23,0,3,19,0
4/16/2013 17:15,0,2,52,4
6/27/2009 23:04,0,374,47,229
8/25/2010 23:16,0,4,13,0
4/5/2010 15:26,0,0,1,1
10/28/2012 6:29,1,1,22,1
3/15/2013 1:32,0,0,2,0
6/16/2012 23:42,0,0,0,0
1/9/2010 20:37,0,0,1,3
6/25/2013 1:31,0,109,73,11
5/30/2013 11:59,0,1,21,2
12/12/2012 8:33,1,0,5,2
10/24/2011 17:05,0,1,0,0
10/8/2012 9:17,0,0,5,2
10/19/2011 20:35,0,1,13,0
7/9/2011 21:37,0,6,3,4
5/12/2011 16:46,0,1,0,0
9/13/2009 10:07,0,0,0,0
10/15/2012 4:57,0,6,125,1
5/14/2011 23:03,0,0,0,0
12/14/2010 12:20,0,1,0,0
8/13/2009 17:26,0,0,0,0
3/5/2011 6:13,0,1,2,0
11/27/2010 19:36,0,6,13,1
6/27/2009 9:33,0,1,1,10
8/11/2013 16:07,0,1,0,0
11/9/2012 23:05,0,1078,97,6468
4/8/2010 6:31,0,4,21,15
11/20/2010 13:15,0,45,141,270
3/5/2012 6:34,0,0,6,0
10/31/2012 4:05,0,0,0,0
8/31/2013 12:47,0,0,0,0
2/2/2013 4:15,0,0,0,0
2/6/2012 23:29,0,0,0,0
7/21/2013 3:18,0,0,0,0
12/27/2011 23:44,0,3,3,1
9/28/2012 11:58,0,0,0,2
8/18/2011 6:23,1,37,51,107
4/12/2010 3:02,0,1,1,0
3/6/2013 16:56,1,64,62,71
5/12/2012 17:45,0,1,6,1
6/9/2012 17:00,0,0,0,8
12/5/2011 12:14,0,4,82,4
8/30/2010 9:14,0,0,2,2
2/1/2013 13:50,0,2,26,13
3/19/2011 3:56,1,44,53,63
7/30/2010 15:55,0,5,47,21
